datacouk,lfp
Ajaccio,AC AJACCIO
Ajaccio GFCO,GAZELEC FC AJACCIO
Amiens,AMIENS SC
Angers,ANGERS SCO
Arles,A.C. ARLES - AVIGNON
Auxerre,AJ AUXERRE
Bastia,S.C. BASTIAIS
Bordeaux,FC GIRONDINS DE BORDEAUX
Boulogne,U.S. BOULOGNE COTE D'OPALE
Brest,STADE BRESTOIS 29
Caen,STADE MALHERBE CAEN
Dijon,DIJON FCO
Evian Thonon Gaillard,EVIAN THONON GAILLARD F. C.
Grenoble,GRENOBLE FOOT 38
Guingamp,EN AVANT GUINGAMP
Istres,F.C. ISTRES OUEST PROVENCE
Le Havre,HAVRE AC
Le Mans,LE MANS FC
Lens,RC LENS
Lille,LOSC LILLE
Lorient,FC LORIENT
Lyon,OLYMPIQUE LYONNAIS
Marseille,OLYMPIQUE DE MARSEILLE
Metz,FC METZ
Monaco,AS MONACO
Montpellier,MONTPELLIER HÉRAULT SC
Nancy,AS NANCY LORRAINE
Nantes,FC NANTES
Nice,OGC NICE
Nimes,NÎMES OLYMPIQUE
Paris SG,PARIS SAINT-GERMAIN
Reims,STADE DE REIMS
Rennes,STADE RENNAIS FC
Sedan,C.S. SEDAN ARDENNES
Sochaux,FC SOCHAUX-MONTBÉLIARD
St Etienne,AS SAINT-ÉTIENNE
Strasbourg,RC STRASBOURG ALSACE
Toulouse,TOULOUSE FC
Troyes,ESTAC TROYES
Valenciennes,VALENCIENNES FC
