,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
0,F2,Chambly,Valenciennes,H,2.5,3.0,2.8,H,True
1,F2,Clermont,Chateauroux,H,1.75,3.5,4.75,H,True
2,F2,Guingamp,Grenoble,D,1.66,3.6,5.25,H,False
3,F2,Nancy,Orleans,D,2.1,3.2,3.6,H,False
4,F2,Niort,Troyes,A,3.25,3.0,2.37,A,True
5,F2,Rodez,Auxerre,H,2.7,3.0,2.8,H,True
6,F2,Sochaux,Caen,D,2.75,3.0,2.5,A,False
7,F2,Le Mans,Lens,A,3.0,3.2,2.37,A,True
8,F2,Lorient,Paris FC,H,2.0,3.2,4.0,H,True
9,F2,Auxerre,Le Mans,H,1.75,3.4,5.0,H,True
10,F2,Chateauroux,Rodez,D,3.0,3.0,2.5,A,False
11,F2,Grenoble,Ajaccio,A,2.05,3.1,4.0,H,False
12,F2,Le Havre,Niort,D,1.72,3.4,5.25,H,False
13,F2,Orleans,Chambly,A,2.1,3.1,3.75,H,False
14,F2,Paris FC,Sochaux,D,2.2,2.7,4.2,H,False
15,F2,Troyes,Clermont,A,2.5,3.0,3.0,H,False
16,F2,Valenciennes,Nancy,D,2.7,3.0,2.8,H,False
17,F2,Lens,Guingamp,H,2.15,3.0,3.8,H,True
18,F2,Caen,Lorient,A,2.2,3.0,3.6,H,False
19,F2,Ajaccio,Caen,A,2.6,3.0,2.9,H,False
20,F2,Chambly,Grenoble,D,2.45,3.0,3.1,H,False
21,F2,Guingamp,Orleans,H,1.8,3.0,5.0,H,True
22,F2,Le Mans,Valenciennes,A,2.3,2.8,3.3,H,False
23,F2,Nancy,Lorient,D,3.2,3.0,2.25,A,False
24,F2,Niort,Chateauroux,H,2.05,2.9,3.9,H,True
25,F2,Rodez,Paris FC,H,2.5,2.75,3.0,H,True
26,F2,Sochaux,Auxerre,H,2.75,2.9,2.6,A,False
27,F2,Troyes,Le Havre,A,2.1,3.0,3.5,H,False
28,F2,Clermont,Lens,D,2.37,2.9,3.3,H,False
29,F2,Caen,Chambly,D,2.4,3.0,3.2,H,False
30,F2,Chateauroux,Ajaccio,A,3.25,2.8,2.5,A,True
31,F2,Grenoble,Troyes,D,2.6,2.8,3.1,H,False
32,F2,Lorient,Sochaux,H,1.61,3.4,6.5,H,True
33,F2,Nancy,Le Mans,H,1.9,3.25,4.33,H,True
34,F2,Orleans,Clermont,A,3.4,2.8,2.4,A,True
35,F2,Paris FC,Niort,A,2.05,2.8,4.5,H,False
36,F2,Valenciennes,Rodez,H,3.25,2.87,2.45,A,False
37,F2,Lens,Le Havre,A,2.0,3.0,4.33,H,False
38,F2,Auxerre,Guingamp,D,2.4,2.8,3.5,H,False
39,F2,Ajaccio,Paris FC,H,2.2,3.0,3.6,H,True
40,F2,Chambly,Chateauroux,D,1.85,3.3,4.5,H,False
41,F2,Clermont,Auxerre,D,2.2,3.0,3.3,H,False
42,F2,Le Havre,Grenoble,H,1.9,3.1,4.5,H,True
43,F2,Le Mans,Lorient,A,3.75,3.2,2.1,A,True
44,F2,Niort,Caen,D,2.4,3.1,3.1,H,False
45,F2,Rodez,Orleans,D,2.15,3.2,3.6,H,False
46,F2,Sochaux,Nancy,H,2.55,3.0,3.0,H,True
47,F2,Troyes,Lens,H,2.87,2.9,2.5,A,False
48,F2,Guingamp,Valenciennes,A,1.75,3.4,5.0,H,False
49,F2,Auxerre,Ajaccio,H,1.95,3.2,4.2,H,True
50,F2,Caen,Le Havre,A,2.87,3.0,2.62,A,True
51,F2,Chateauroux,Troyes,A,3.6,3.0,2.2,A,True
52,F2,Le Mans,Sochaux,H,2.8,2.9,2.75,A,False
53,F2,Nancy,Rodez,D,2.2,3.0,3.6,H,False
54,F2,Orleans,Niort,A,1.9,3.0,4.75,H,False
55,F2,Valenciennes,Clermont,H,3.1,3.1,2.37,A,False
56,F2,Lorient,Guingamp,A,2.05,3.1,4.0,H,False
57,F2,Paris FC,Chambly,A,2.3,2.87,3.5,H,False
58,F2,Grenoble,Lens,D,3.5,3.25,2.1,A,False
59,F2,Ajaccio,Orleans,D,2.0,3.2,4.0,H,False
60,F2,Chambly,Auxerre,A,2.7,2.9,2.87,H,False
61,F2,Guingamp,Nancy,D,2.0,3.1,4.2,H,False
62,F2,Le Havre,Paris FC,D,1.72,3.25,5.75,H,False
63,F2,Niort,Grenoble,A,2.37,3.0,3.2,H,False
64,F2,Rodez,Le Mans,H,2.15,3.1,3.6,H,True
65,F2,Sochaux,Valenciennes,D,2.15,3.1,3.6,H,False
66,F2,Troyes,Caen,H,1.9,3.2,4.33,H,True
67,F2,Clermont,Lorient,A,2.5,2.9,3.1,H,False
68,F2,Lens,Chateauroux,H,1.5,3.5,9.0,H,True
69,F2,Auxerre,Troyes,A,2.45,2.9,3.2,H,False
70,F2,Chateauroux,Grenoble,D,2.9,3.1,2.5,A,False
71,F2,Le Mans,Ajaccio,A,2.45,3.2,2.9,H,False
72,F2,Nancy,Chambly,H,2.4,3.0,3.2,H,True
73,F2,Orleans,Le Havre,D,3.0,3.1,2.45,A,False
74,F2,Paris FC,Clermont,A,3.2,3.0,2.37,A,True
75,F2,Sochaux,Guingamp,H,3.0,2.9,2.6,A,False
76,F2,Valenciennes,Niort,D,2.0,3.2,3.9,H,False
77,F2,Caen,Lens,A,3.75,3.1,2.1,A,True
78,F2,Lorient,Rodez,H,2.0,3.1,4.2,H,True
79,F2,Ajaccio,Valenciennes,H,2.05,3.0,4.0,H,True
80,F2,Chambly,Lorient,A,3.5,3.0,2.25,A,True
81,F2,Clermont,Nancy,D,2.05,3.2,3.75,H,False
82,F2,Grenoble,Caen,H,1.95,3.2,3.75,H,True
83,F2,Le Havre,Chateauroux,A,1.53,3.8,6.5,H,False
84,F2,Niort,Auxerre,D,3.75,3.1,2.1,A,False
85,F2,Rodez,Sochaux,A,2.37,3.1,3.1,H,False
86,F2,Troyes,Orleans,A,1.7,3.3,6.0,H,False
87,F2,Lens,Paris FC,H,1.53,3.8,6.5,H,True
88,F2,Guingamp,Le Mans,H,1.72,3.5,5.25,H,True
89,F2,Caen,Chateauroux,D,2.05,3.0,4.2,H,False
90,F2,Guingamp,Rodez,H,2.0,3.1,4.2,H,True
91,F2,Le Mans,Chambly,H,2.7,2.87,2.9,H,True
92,F2,Lorient,Ajaccio,D,1.72,3.4,5.25,H,False
93,F2,Nancy,Niort,H,1.85,3.1,5.0,H,True
94,F2,Paris FC,Troyes,H,3.25,3.0,2.37,A,False
95,F2,Sochaux,Clermont,H,2.9,2.87,2.8,A,False
96,F2,Valenciennes,Grenoble,A,2.45,3.1,3.0,H,False
97,F2,Auxerre,Le Havre,H,2.45,3.0,3.1,H,True
98,F2,Orleans,Lens,A,3.75,3.2,2.05,A,True
99,F2,Ajaccio,Nancy,D,2.5,2.9,3.1,H,False
100,F2,Caen,Valenciennes,D,2.1,3.1,3.75,H,False
101,F2,Chambly,Sochaux,D,2.8,2.87,2.75,A,False
102,F2,Chateauroux,Paris FC,A,2.5,2.8,3.3,H,False
103,F2,Clermont,Rodez,A,1.8,3.3,4.75,H,False
104,F2,Grenoble,Orleans,D,2.05,3.25,3.75,H,False
105,F2,Niort,Guingamp,D,3.75,3.1,2.1,A,False
106,F2,Troyes,Le Mans,H,1.55,3.6,7.0,H,True
107,F2,Le Havre,Lorient,D,2.6,3.2,2.75,H,False
108,F2,Lens,Auxerre,D,1.95,3.2,4.2,H,False
109,F2,Auxerre,Grenoble,A,2.05,3.1,4.0,H,False
110,F2,Guingamp,Clermont,A,2.2,3.1,3.5,H,False
111,F2,Le Mans,Niort,H,2.15,3.2,3.5,H,True
112,F2,Nancy,Lens,D,3.0,2.87,2.6,A,False
113,F2,Orleans,Chateauroux,D,2.05,3.0,4.2,H,False
114,F2,Paris FC,Caen,A,2.3,2.9,3.5,H,False
115,F2,Rodez,Chambly,H,2.1,2.9,4.0,H,True
116,F2,Sochaux,Ajaccio,A,2.2,2.9,3.75,H,False
117,F2,Lorient,Troyes,A,2.1,2.9,4.1,H,False
118,F2,Valenciennes,Le Havre,D,3.4,3.0,2.3,A,False
119,F2,Ajaccio,Rodez,H,1.9,3.1,4.5,H,True
120,F2,Caen,Orleans,H,2.05,3.3,3.6,H,True
121,F2,Chambly,Guingamp,A,3.4,3.0,2.3,A,True
122,F2,Chateauroux,Auxerre,H,3.6,2.9,2.25,A,False
123,F2,Troyes,Valenciennes,H,1.57,3.8,6.0,H,True
124,F2,Clermont,Le Mans,A,1.61,3.6,5.75,H,False
125,F2,Grenoble,Paris FC,D,1.9,3.1,4.5,H,False
126,F2,Lens,Lorient,H,2.3,2.87,3.5,H,True
127,F2,Niort,Sochaux,A,3.1,2.87,2.5,A,True
128,F2,Le Havre,Nancy,D,2.2,3.1,3.5,H,False
129,F2,Auxerre,Caen,D,2.0,3.0,4.5,H,False
130,F2,Chambly,Clermont,A,4.33,2.9,2.05,A,True
131,F2,Le Mans,Grenoble,D,2.8,3.0,2.7,A,False
132,F2,Lorient,Niort,H,1.45,4.2,7.5,H,True
133,F2,Nancy,Troyes,D,2.25,2.87,3.75,H,False
134,F2,Orleans,Paris FC,A,2.3,2.8,3.6,H,False
135,F2,Sochaux,Le Havre,H,2.87,2.75,2.87,D,False
136,F2,Valenciennes,Chateauroux,A,2.15,3.0,3.75,H,False
137,F2,Guingamp,Ajaccio,D,2.05,3.1,4.0,H,False
138,F2,Rodez,Lens,A,3.5,3.1,2.05,A,True
139,F2,Ajaccio,Clermont,D,2.75,2.87,2.87,H,False
140,F2,Caen,Le Mans,D,1.95,3.1,4.33,H,False
141,F2,Chateauroux,Lorient,A,5.25,3.3,1.75,A,True
142,F2,Grenoble,Nancy,D,2.7,2.87,2.9,H,False
143,F2,Niort,Rodez,H,2.7,3.0,2.8,H,True
144,F2,Orleans,Valenciennes,A,2.0,3.1,4.2,H,False
145,F2,Paris FC,Auxerre,H,3.2,2.87,2.45,A,False
146,F2,Troyes,Chambly,A,1.6,3.75,6.0,H,False
147,F2,Lens,Sochaux,H,1.95,3.1,4.33,H,True
148,F2,Le Havre,Guingamp,H,2.25,3.2,3.3,H,True
149,F2,Auxerre,Orleans,D,1.95,3.1,4.33,H,False
150,F2,Chambly,Ajaccio,A,3.3,2.8,2.45,A,True
151,F2,Clermont,Niort,H,1.44,3.75,9.0,H,True
152,F2,Guingamp,Caen,D,1.95,3.1,4.33,H,False
153,F2,Le Mans,Chateauroux,A,2.1,3.1,3.8,H,False
154,F2,Lorient,Grenoble,H,1.55,3.6,7.0,H,True
155,F2,Nancy,Paris FC,H,1.7,3.4,5.5,H,True
156,F2,Rodez,Le Havre,A,3.5,3.1,2.2,A,True
157,F2,Valenciennes,Lens,H,4.75,3.25,1.85,A,False
158,F2,Sochaux,Troyes,A,2.7,2.8,3.0,H,False
159,F2,Caen,Nancy,H,2.5,2.87,3.2,H,True
160,F2,Auxerre,Valenciennes,D,1.83,3.25,4.75,H,False
161,F2,Chateauroux,Sochaux,D,2.7,2.8,2.9,H,False
162,F2,Grenoble,Clermont,D,3.0,2.87,2.62,A,False
163,F2,Le Havre,Le Mans,H,1.61,3.4,6.5,H,True
164,F2,Lens,Chambly,H,1.53,3.6,7.5,H,True
165,F2,Niort,Ajaccio,A,3.4,3.0,2.3,A,True
166,F2,Orleans,Lorient,A,4.5,3.3,1.85,A,True
167,F2,Paris FC,Guingamp,A,3.25,2.87,2.45,A,True
168,F2,Troyes,Rodez,H,1.72,3.3,5.5,H,True
169,F2,Chambly,Niort,H,2.25,2.8,3.8,H,True
170,F2,Clermont,Le Havre,H,2.4,3.0,3.2,H,True
171,F2,Le Mans,Orleans,H,2.5,3.1,2.9,H,True
172,F2,Lorient,Auxerre,H,1.5,3.75,7.0,H,True
173,F2,Nancy,Chateauroux,H,1.72,3.3,5.5,H,True
174,F2,Rodez,Caen,H,3.2,3.0,2.4,A,False
175,F2,Sochaux,Grenoble,D,2.4,2.87,3.3,H,False
176,F2,Valenciennes,Paris FC,H,2.35,2.9,3.4,H,True
177,F2,Ajaccio,Lens,A,2.87,3.0,2.62,A,True
178,F2,Guingamp,Troyes,A,2.45,3.0,3.1,H,False
179,F2,Auxerre,Nancy,D,2.55,2.87,3.1,H,False
180,F2,Caen,Clermont,D,3.0,2.87,2.7,A,False
181,F2,Chateauroux,Guingamp,A,3.4,3.3,2.15,A,True
182,F2,Grenoble,Rodez,H,2.05,2.87,4.33,H,True
183,F2,Le Havre,Chambly,D,1.44,4.0,8.0,H,False
184,F2,Orleans,Sochaux,H,2.55,3.0,3.0,H,True
185,F2,Valenciennes,Lorient,H,4.0,3.3,1.95,A,False
186,F2,Lens,Niort,H,1.4,4.2,9.5,H,True
187,F2,Paris FC,Le Mans,A,2.25,3.0,3.5,H,False
188,F2,Troyes,Ajaccio,H,2.1,3.0,4.0,H,True
189,F2,Ajaccio,Grenoble,H,2.0,3.1,4.2,H,True
190,F2,Chambly,Orleans,H,2.8,3.0,2.7,A,False
191,F2,Clermont,Troyes,H,2.3,2.87,3.5,H,True
192,F2,Le Mans,Auxerre,A,3.0,3.2,2.4,A,True
193,F2,Nancy,Valenciennes,H,1.83,3.4,4.5,H,True
194,F2,Niort,Le Havre,A,4.33,3.5,1.83,A,True
195,F2,Rodez,Chateauroux,A,2.0,3.2,4.2,H,False
196,F2,Sochaux,Paris FC,D,1.75,3.25,5.25,H,False
197,F2,Lorient,Caen,H,1.72,3.5,5.0,H,True
198,F2,Guingamp,Lens,D,2.6,3.2,2.75,H,False
199,F2,Auxerre,Sochaux,H,2.0,2.8,4.75,H,True
200,F2,Caen,Ajaccio,A,3.0,2.8,2.7,A,True
201,F2,Chateauroux,Niort,D,2.1,3.2,3.6,H,False
202,F2,Grenoble,Chambly,D,1.9,3.1,4.5,H,False
203,F2,Lorient,Nancy,H,1.57,3.6,6.5,H,True
204,F2,Orleans,Guingamp,H,3.1,3.2,2.37,A,False
205,F2,Paris FC,Rodez,D,2.45,2.75,3.4,H,False
206,F2,Valenciennes,Le Mans,H,1.9,3.4,4.2,H,True
207,F2,Lens,Clermont,D,1.95,3.1,4.33,H,False
208,F2,Le Havre,Troyes,H,2.3,3.1,3.3,H,True
209,F2,Ajaccio,Chateauroux,A,1.6,3.6,6.0,H,False
210,F2,Chambly,Caen,A,2.75,2.9,2.75,H,False
211,F2,Clermont,Orleans,H,1.72,3.5,5.25,H,True
212,F2,Guingamp,Auxerre,H,2.1,3.25,3.5,H,True
213,F2,Le Havre,Lens,D,2.62,3.1,2.75,H,False
214,F2,Le Mans,Nancy,D,2.9,3.2,2.45,A,False
215,F2,Niort,Paris FC,D,2.6,2.9,3.0,H,False
216,F2,Rodez,Valenciennes,D,2.3,3.2,3.2,H,False
217,F2,Troyes,Grenoble,A,2.0,3.3,4.0,H,False
218,F2,Sochaux,Lorient,A,3.6,2.9,2.25,A,True
219,F2,Grenoble,Le Havre,D,3.1,2.8,2.55,A,False
220,F2,Auxerre,Clermont,D,2.7,2.9,2.87,H,False
221,F2,Caen,Niort,H,1.85,3.2,4.75,H,True
222,F2,Chateauroux,Chambly,A,2.5,2.8,3.25,H,False
223,F2,Lens,Troyes,H,1.72,3.25,5.5,H,True
224,F2,Lorient,Le Mans,H,1.36,4.33,10.0,H,True
225,F2,Nancy,Sochaux,D,2.1,2.8,4.2,H,False
226,F2,Orleans,Rodez,A,2.37,2.9,3.3,H,False
227,F2,Paris FC,Ajaccio,A,3.8,2.9,2.2,A,True
228,F2,Valenciennes,Guingamp,D,2.8,3.0,2.62,A,False
229,F2,Ajaccio,Auxerre,A,2.1,2.87,4.2,H,False
230,F2,Chambly,Paris FC,A,3.3,2.8,2.5,A,True
231,F2,Clermont,Valenciennes,H,1.72,3.4,5.5,H,True
232,F2,Le Havre,Caen,D,2.1,3.1,4.0,H,False
233,F2,Niort,Orleans,H,2.87,3.2,2.45,A,False
234,F2,Rodez,Nancy,D,2.5,3.0,2.8,H,False
235,F2,Sochaux,Le Mans,H,1.83,3.25,4.75,H,True
236,F2,Troyes,Chateauroux,H,1.75,3.4,5.0,H,True
