saison,journee,Date,HomeTeam,AwayTeam,cl_hometeam,cl_awayteam,forme_h_win,forme_h_draw,forme_h_lose,forme_a_win,forme_a_draw,forme_a_lose
2019-2020,1,2019-08-09,Monaco,Lyon,-1,-1,,,,,,
2019-2020,1,2019-08-10,Marseille,Reims,-1,-1,,,,,,
2019-2020,1,2019-08-10,Angers,Bordeaux,-1,-1,,,,,,
2019-2020,1,2019-08-10,Brest,Toulouse,-1,-1,,,,,,
2019-2020,1,2019-08-10,Dijon,St Etienne,-1,-1,,,,,,
2019-2020,1,2019-08-10,Montpellier,Rennes,-1,-1,,,,,,
2019-2020,1,2019-08-10,Nice,Amiens,-1,-1,,,,,,
2019-2020,1,2019-08-11,Lille,Nantes,-1,-1,,,,,,
2019-2020,1,2019-08-11,Strasbourg,Metz,-1,-1,,,,,,
2019-2020,1,2019-08-11,Paris SG,Nimes,-1,-1,,,,,,
2019-2020,2,2019-08-16,Lyon,Angers,1,3,1,0,0,1,0,0
2019-2020,2,2019-08-17,Nimes,Nice,19,7,0,0,1,1,0,0
2019-2020,2,2019-08-17,Metz,Monaco,10,20,0,1,0,0,0,1
2019-2020,2,2019-08-17,Toulouse,Dijon,9,15,0,1,0,0,0,1
2019-2020,2,2019-08-17,Amiens,Lille,14,6,0,0,1,1,0,0
2019-2020,2,2019-08-17,Nantes,Marseille,13,18,0,0,1,0,0,1
2019-2020,2,2019-08-17,Bordeaux,Montpellier,17,16,0,0,1,0,0,1
2019-2020,2,2019-08-18,St Etienne,Brest,5,12,1,0,0,0,1,0
2019-2020,2,2019-08-18,Reims,Strasbourg,4,11,1,0,0,0,1,0
2019-2020,2,2019-08-18,Rennes,Paris SG,8,2,1,0,0,1,0,0
2019-2020,3,2019-08-24,Brest,Reims,12,5,0,2,0,1,1,0
2019-2020,3,2019-08-24,Dijon,Bordeaux,18,16,0,0,2,0,1,1
2019-2020,3,2019-08-24,Amiens,Nantes,9,14,1,0,1,0,1,1
2019-2020,3,2019-08-24,Angers,Metz,11,4,1,0,1,1,1,0
2019-2020,3,2019-08-25,Monaco,Nimes,20,19,0,0,2,0,0,2
2019-2020,3,2019-08-25,Strasbourg,Rennes,13,3,0,2,0,2,0,0
2019-2020,3,2019-08-25,Paris SG,Toulouse,8,7,1,0,1,1,1,0
2019-2020,3,2019-08-27,Montpellier,Lyon,15,1,0,1,1,2,0,0
2019-2020,3,2019-08-28,Lille,St Etienne,10,6,1,0,1,1,1,0
2019-2020,3,2019-08-28,Nice,Marseille,2,17,2,0,0,0,1,1
2019-2020,4,2019-08-30,Metz,Paris SG,10,3,1,1,1,2,0,1
2019-2020,4,2019-08-31,Toulouse,Amiens,15,16,1,1,1,1,0,2
2019-2020,4,2019-08-31,Nimes,Brest,18,7,0,1,2,1,2,0
2019-2020,4,2019-08-31,Angers,Dijon,6,20,2,0,1,0,0,3
2019-2020,4,2019-08-31,Lyon,Bordeaux,2,9,2,0,1,1,1,1
2019-2020,4,2019-08-31,Nantes,Montpellier,11,12,1,1,1,1,1,1
2019-2020,4,2019-09-01,Reims,Lille,8,4,1,1,1,2,0,1
2019-2020,4,2019-09-01,Rennes,Nice,1,5,3,0,0,2,0,1
2019-2020,4,2019-09-01,Strasbourg,Monaco,17,19,0,2,1,0,1,2
2019-2020,4,2019-09-01,Marseille,St Etienne,13,14,1,1,1,1,1,1
2019-2020,5,2019-09-13,Lille,Angers,10,4,2,0,2,3,0,1
2019-2020,5,2019-09-13,Amiens,Lyon,18,5,1,0,3,2,1,1
2019-2020,5,2019-09-14,Paris SG,Strasbourg,1,17,3,0,1,0,3,1
2019-2020,5,2019-09-14,Bordeaux,Metz,11,15,1,2,1,1,1,2
2019-2020,5,2019-09-14,Brest,Rennes,12,2,1,2,1,3,0,1
2019-2020,5,2019-09-14,Dijon,Nimes,20,13,0,0,4,1,1,2
2019-2020,5,2019-09-14,Montpellier,Nice,14,3,1,1,2,3,0,1
2019-2020,5,2019-09-15,Monaco,Marseille,19,8,0,2,2,2,1,1
2019-2020,5,2019-09-15,Nantes,Reims,7,6,2,1,1,2,1,1
2019-2020,5,2019-09-15,St Etienne,Toulouse,16,9,1,1,2,2,1,1
2019-2020,6,2019-09-20,Strasbourg,Nantes,18,3,0,3,2,3,1,1
2019-2020,6,2019-09-21,Marseille,Montpellier,4,12,3,1,1,2,1,2
2019-2020,6,2019-09-21,Bordeaux,Brest,9,13,2,2,1,1,3,1
2019-2020,6,2019-09-21,Metz,Amiens,17,16,1,1,3,1,1,3
2019-2020,6,2019-09-21,Nice,Dijon,6,20,3,0,2,0,1,4
2019-2020,6,2019-09-21,Nimes,Toulouse,14,10,1,2,2,2,2,1
2019-2020,6,2019-09-21,Reims,Monaco,11,19,2,1,2,0,2,3
2019-2020,6,2019-09-22,Rennes,Lille,2,5,3,1,1,3,0,2
2019-2020,6,2019-09-22,Angers,St Etienne,7,15,3,0,2,1,2,2
2019-2020,6,2019-09-22,Lyon,Paris SG,8,1,2,2,1,4,0,1
2019-2020,7,2019-09-24,Dijon,Marseille,20,5,0,1,4,3,2,0
2019-2020,7,2019-09-24,Monaco,Nice,19,3,0,3,2,3,0,2
2019-2020,7,2019-09-25,St Etienne,Metz,17,18,0,2,3,1,0,4
2019-2020,7,2019-09-25,Toulouse,Angers,13,2,2,1,2,3,0,2
2019-2020,7,2019-09-25,Nantes,Rennes,7,4,3,1,1,2,2,1
2019-2020,7,2019-09-25,Paris SG,Reims,1,10,4,0,1,1,2,2
2019-2020,7,2019-09-25,Lille,Strasbourg,6,16,2,1,2,1,2,2
2019-2020,7,2019-09-25,Amiens,Bordeaux,14,8,2,1,2,2,3,0
2019-2020,7,2019-09-25,Montpellier,Nimes,12,11,2,2,1,2,2,1
2019-2020,7,2019-09-25,Brest,Lyon,15,9,1,3,1,1,2,2
2019-2020,8,2019-09-28,Lyon,Nantes,11,4,0,3,2,4,0,1
2019-2020,8,2019-09-28,Bordeaux,Paris SG,5,1,3,2,0,4,0,1
2019-2020,8,2019-09-28,Angers,Amiens,2,15,4,0,1,1,1,3
2019-2020,8,2019-09-28,Metz,Toulouse,16,14,1,0,4,1,1,3
2019-2020,8,2019-09-28,Nice,Lille,7,3,2,0,3,3,1,1
2019-2020,8,2019-09-28,Reims,Dijon,8,20,2,1,2,0,2,3
2019-2020,8,2019-09-28,Monaco,Brest,18,13,1,3,1,1,3,1
2019-2020,8,2019-09-29,Strasbourg,Montpellier,17,10,1,1,3,3,1,1
2019-2020,8,2019-09-29,Nimes,St Etienne,12,19,2,2,1,0,1,4
2019-2020,8,2019-09-29,Marseille,Rennes,6,9,3,2,0,1,2,2
2019-2020,9,2019-10-04,Amiens,Marseille,16,5,1,2,2,2,3,0
2019-2020,9,2019-10-05,Toulouse,Bordeaux,14,7,1,2,2,2,2,1
2019-2020,9,2019-10-05,Nantes,Nice,3,6,4,0,1,2,1,2
2019-2020,9,2019-10-05,Montpellier,Monaco,10,12,2,1,2,2,2,1
2019-2020,9,2019-10-05,Brest,Metz,18,17,0,3,2,1,1,3
2019-2020,9,2019-10-05,Paris SG,Angers,1,2,4,0,1,3,1,1
2019-2020,9,2019-10-05,Dijon,Strasbourg,20,13,1,2,2,2,1,2
2019-2020,9,2019-10-06,Lille,Nimes,4,15,2,2,1,2,1,2
2019-2020,9,2019-10-06,Rennes,Reims,8,9,0,3,2,2,1,2
2019-2020,9,2019-10-06,St Etienne,Lyon,19,11,1,1,3,0,3,2
2019-2020,10,2019-10-18,Nice,Paris SG,9,1,1,1,3,4,0,1
2019-2020,10,2019-10-19,Toulouse,Lille,18,5,0,2,3,2,3,0
2019-2020,10,2019-10-19,Reims,Montpellier,6,7,2,1,2,3,1,1
2019-2020,10,2019-10-19,Nimes,Amiens,15,11,1,2,2,2,2,1
2019-2020,10,2019-10-19,Metz,Nantes,20,2,1,1,3,4,0,1
2019-2020,10,2019-10-19,Lyon,Dijon,14,19,0,2,3,2,2,1
2019-2020,10,2019-10-19,Angers,Brest,3,12,2,1,2,1,3,1
2019-2020,10,2019-10-20,Bordeaux,St Etienne,4,13,3,1,1,2,1,2
2019-2020,10,2019-10-20,Monaco,Rennes,16,10,2,1,2,0,3,2
2019-2020,10,2019-10-20,Marseille,Strasbourg,8,17,1,3,1,2,0,3
2019-2020,11,2019-10-25,Nantes,Monaco,2,14,3,0,2,3,1,1
2019-2020,11,2019-10-26,Strasbourg,Nice,20,11,2,0,3,1,1,3
2019-2020,11,2019-10-26,Reims,Nimes,3,18,3,1,1,1,2,2
2019-2020,11,2019-10-26,Montpellier,Angers,8,5,2,1,2,2,1,2
2019-2020,11,2019-10-26,Brest,Dijon,9,19,2,2,1,2,2,1
2019-2020,11,2019-10-26,Lille,Bordeaux,7,6,1,3,1,2,1,2
2019-2020,11,2019-10-26,Lyon,Metz,17,16,0,2,3,2,1,2
2019-2020,11,2019-10-27,Rennes,Toulouse,12,15,0,2,3,1,1,3
2019-2020,11,2019-10-27,St Etienne,Amiens,10,13,3,0,2,2,2,1
2019-2020,11,2019-10-27,Paris SG,Marseille,1,4,4,0,1,1,3,1
2019-2020,12,2019-11-01,Dijon,Paris SG,20,1,2,2,1,4,0,1
2019-2020,12,2019-11-02,Marseille,Lille,7,3,1,2,2,2,2,1
2019-2020,12,2019-11-02,Amiens,Brest,14,5,1,3,1,3,1,1
2019-2020,12,2019-11-02,Metz,Montpellier,19,10,2,1,2,2,1,2
2019-2020,12,2019-11-02,Toulouse,Lyon,17,13,1,1,3,1,2,2
2019-2020,12,2019-11-02,Angers,Strasbourg,6,16,1,2,2,2,0,3
2019-2020,12,2019-11-03,Bordeaux,Nantes,8,2,2,0,3,3,0,2
2019-2020,12,2019-11-03,Nice,Reims,15,4,0,1,4,3,1,1
2019-2020,12,2019-11-03,St Etienne,Monaco,12,11,3,1,1,4,0,1
2019-2020,12,2019-11-08,Nice,Bordeaux,15,8,0,1,4,2,0,3
2019-2020,13,2019-11-09,Reims,Angers,7,2,2,1,2,1,2,2
2019-2020,13,2019-11-09,Strasbourg,Nimes,17,20,2,0,3,0,3,2
2019-2020,13,2019-11-09,Lille,Metz,5,19,1,2,2,1,2,2
2019-2020,13,2019-11-09,Brest,Paris SG,10,1,3,0,2,4,0,1
2019-2020,13,2019-11-09,Monaco,Dijon,15,16,3,0,2,3,1,1
2019-2020,13,2019-11-10,Rennes,Amiens,8,13,2,1,2,2,3,0
2019-2020,13,2019-11-10,Montpellier,Toulouse,12,18,1,2,2,1,1,3
2019-2020,13,2019-11-10,Nantes,St Etienne,3,9,2,0,3,4,1,0
2019-2020,13,2019-11-10,Marseille,Lyon,4,11,2,1,2,2,1,2
2019-2020,13,2019-11-22,Paris SG,Lille,1,5,4,0,1,1,2,2
2019-2020,14,2019-11-23,Lyon,Nice,14,13,2,1,2,1,1,3
2019-2020,14,2019-11-23,Amiens,Strasbourg,15,16,2,2,1,2,0,3
2019-2020,14,2019-11-23,Angers,Nimes,4,20,1,2,2,0,3,2
2019-2020,14,2019-11-23,Brest,Nantes,12,10,3,0,2,1,0,4
2019-2020,14,2019-11-23,Dijon,Rennes,18,3,2,1,2,3,0,2
2019-2020,14,2019-11-23,Metz,Reims,17,9,1,2,2,2,2,1
