saison,journee,Date,HomeTeam,AwayTeam,cl_hometeam,cl_awayteam
2011-2012,1,2011-08-06,Ajaccio,Toulouse,19,4
2011-2012,1,2011-08-06,Brest,Evian Thonon Gaillard,10,9
2011-2012,1,2011-08-06,Caen,Valenciennes,0,0
2011-2012,1,2011-08-06,Marseille,Sochaux,0,0
2011-2012,1,2011-08-06,Montpellier,Auxerre,0,0
2011-2012,1,2011-08-06,Nancy,Lille,0,0
2011-2012,1,2011-08-06,Nice,Lyon,0,0
2011-2012,1,2011-08-06,Paris SG,Lorient,0,0
2011-2012,1,2011-08-07,Bordeaux,St Etienne,0,0
2011-2012,1,2011-08-07,Dijon,Rennes,0,0
2011-2012,2,2011-08-13,Valenciennes,Brest,1,1
2011-2012,2,2011-08-13,Toulouse,Dijon,1,1
2011-2012,2,2011-08-13,St Etienne,Nancy,1,1
2011-2012,2,2011-08-13,Lyon,Ajaccio,1,1
2011-2012,2,2011-08-13,Rennes,Paris SG,1,1
2011-2012,2,2011-08-13,Lorient,Bordeaux,1,1
2011-2012,2,2011-08-13,Sochaux,Caen,1,1
2011-2012,2,2011-08-14,Auxerre,Marseille,1,1
2011-2012,2,2011-08-14,Evian Thonon Gaillard,Nice,1,1
2011-2012,2,2011-08-14,Lille,Montpellier,1,1
2011-2012,3,2011-08-20,Dijon,Lorient,1,1
2011-2012,3,2011-08-20,Nice,Toulouse,1,1
2011-2012,3,2011-08-20,Caen,Lille,1,1
2011-2012,3,2011-08-20,Bordeaux,Auxerre,1,1
2011-2012,3,2011-08-20,Ajaccio,Evian Thonon Gaillard,1,1
2011-2012,3,2011-08-20,Brest,Lyon,1,1
2011-2012,3,2011-08-21,Marseille,St Etienne,1,1
2011-2012,3,2011-08-21,Montpellier,Rennes,1,1
2011-2012,3,2011-08-21,Nancy,Sochaux,1,1
2011-2012,3,2011-08-21,Paris SG,Valenciennes,1,1
2011-2012,4,2011-08-27,Lyon,Montpellier,1,1
2011-2012,4,2011-08-27,Auxerre,Ajaccio,1,1
2011-2012,4,2011-08-27,Evian Thonon Gaillard,Dijon,1,1
2011-2012,4,2011-08-27,Lorient,Nancy,1,1
2011-2012,4,2011-08-27,Nice,Brest,1,1
2011-2012,4,2011-08-27,Valenciennes,Bordeaux,1,1
2011-2012,4,2011-08-28,Lille,Marseille,1,1
2011-2012,4,2011-08-28,Rennes,Caen,1,1
2011-2012,4,2011-08-28,Sochaux,St Etienne,1,1
2011-2012,4,2011-08-28,Toulouse,Paris SG,1,1
2011-2012,5,2011-09-10,Marseille,Rennes,1,1
2011-2012,5,2011-09-10,Sochaux,Lorient,1,1
2011-2012,5,2011-09-10,Dijon,Lyon,1,1
2011-2012,5,2011-09-10,St Etienne,Lille,1,1
2011-2012,5,2011-09-10,Bordeaux,Evian Thonon Gaillard,1,1
2011-2012,5,2011-09-10,Ajaccio,Valenciennes,1,1
2011-2012,5,2011-09-10,Caen,Toulouse,1,1
2011-2012,5,2011-09-11,Montpellier,Nice,1,1
2011-2012,5,2011-09-11,Nancy,Auxerre,1,1
2011-2012,5,2011-09-11,Paris SG,Brest,1,1
2011-2012,6,2011-09-17,Valenciennes,Dijon,1,1
2011-2012,6,2011-09-17,Toulouse,Bordeaux,1,1
2011-2012,6,2011-09-17,Lorient,St Etienne,1,1
2011-2012,6,2011-09-17,Nice,Ajaccio,1,1
2011-2012,6,2011-09-17,Brest,Montpellier,1,1
2011-2012,6,2011-09-17,Auxerre,Caen,1,1
2011-2012,6,2011-09-17,Lille,Sochaux,1,1
2011-2012,6,2011-09-18,Evian Thonon Gaillard,Paris SG,1,1
2011-2012,6,2011-09-18,Lyon,Marseille,1,1
2011-2012,6,2011-09-18,Rennes,Nancy,1,1
2011-2012,7,2011-09-20,Bordeaux,Lille,1,1
2011-2012,7,2011-09-21,Nancy,Valenciennes,1,1
2011-2012,7,2011-09-21,St Etienne,Toulouse,1,1
2011-2012,7,2011-09-21,Paris SG,Nice,1,1
2011-2012,7,2011-09-21,Marseille,Evian Thonon Gaillard,1,1
2011-2012,7,2011-09-21,Sochaux,Rennes,1,1
2011-2012,7,2011-09-21,Dijon,Brest,1,1
2011-2012,7,2011-09-21,Caen,Lyon,1,1
